,name,price,photo
0,屈臣氏蒸餾水 - 家居水機 - Wats-Touch Mini 溫熱水機 (紅) + 8公升樽裝蒸餾水 x 48樽(電子水券) EA034081R24I,"HK$4,108.0",https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/e/a/ea034081r24i_1.jpg
1,屈臣氏蒸餾水 - 家居水機 - Wats-Touch Mini 即熱式溫熱水機 (古銅金) + 8公升樽裝蒸餾水 x 12樽 (2樽x6箱) (電子水券) EA035051G6I,"HK$4,108.0",https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/e/a/ea035051g6i_2.jpg
2,屈臣氏蒸餾水 - 家居水機 - Wats-Touch Mini 溫熱水機 (白) + 8公升樽裝蒸餾水 x 48樽(電子水券) EA034071W24I,"HK$4,108.0",https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/e/a/ea034071w24i_1.jpg
3,屈臣氏蒸餾水 - HC99L-UFD上流式冷熱水機 (白) +18公升商用裝蒸餾水(電子水券) EA034391W90R,"HK$15,310.0",https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/e/a/ea034391w90r_3.jpg
4,屈臣氏蒸餾水 - HC99L-UFD上流式冷熱水機 (亮麗黑) +18公升商用裝蒸餾水(電子水券) EA034411B90R,"HK$15,310.0",https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/e/a/ea034411b90r_2.jpg
5,[原箱] 7UP - 7UP (24件) PSUSUCZ,HK$6.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/e/-/e-psusucz.jpg
6,[原箱] PEPSI - 百事可樂 (24件) PPSCOCZ,HK$5.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/e/-/e-ppscocz.jpg
7,南北行 - 黑杞子玫瑰花茶 260705,HK$60.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/2/6/260705_1.jpg
8,全農 - 日本青森縣 黃蘋果汁 1升 (1支 / 2支 / 6支) (平行進口貨品) APPLE_JUICE_ALL,HK$50.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/a/p/apple_juice_all.jpg
9,麒麟午後之紅茶-檸檬茶 1.5L (一枝/四枝/八枝) AFTNON_LTEA1_5_ALL,HK$19.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4909411086312.jpg
10,全農 - 日本青森縣 富士蘋果汁 1升 (1支 / 2支 / 6支) (平行進口貨品) FUJI_APPLE_ALL,HK$50.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/f/u/fuji_apple_all.jpg
11,SUNTORY SESAME BARLEY TEA 1050ML (Parallel Import)  4901777314979,HK$49.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4901777314979.jpg
12,MITSUKAN - MITSUKAN APPLE VINEGAR HONEY APPLE STRAIGHT 1000ML (1 BOTTLE) (PARALLEL IMPORT) 4902106799740,HK$44.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4902106799740.jpg
13,(電子換領券) 健康工房 - 海底椰川貝杏仁茶 HW-13835,HK$32.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/h/w/hw-13835.jpg
14,MITSUKAN - MIZKAN ZAKURO KUROZU DIET 1000ML (1 BOTTLE) (PARALLEL IMPORT) 4902106799689,HK$44.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4902106799689.jpg
15,MITSUKAN - MIZKAN BLUEBERRY FRUIT VINEGAR DRINK 1000ML (1 BOTTLE) (PARALLEL IMPORT) 4902106799665,HK$44.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4902106799665.jpg
16,MITSUKAN - MIZKAN YOGURT BLACK VINEGAR STRAIGHT 1000ML (1 BOTTLE) (PARALLEL IMPORT) 4902106798767,HK$44.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4902106798767.jpg
17,(電子換領券) 健康工房 - 椰汁海底椰川貝雪耳露 HW-12859,HK$32.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/h/w/hw-12859.jpg
18,情熱價格 烏龍茶 2升 (1支 / 6支 / 24支) (平行進口貨品) JK_OLONGTEA_ALL,HK$19.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/5/4562223891309.jpg
19,可果美提子混合汁 720毫升 (1支 / 3支 / 15支) (平行進口貨品) KAG_GRAMIXJUICE_ALL,HK$19.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4901306015933.jpg
20,(電子換領券) 健康工房 - 蜜棗貝杏雪梨茶 HW-12783,HK$32.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/h/w/hw-12783.jpg
21,(電子換領券) 健康工房 - 馬蹄鮮茅根竹蔗水 HW-12256,HK$32.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/h/w/hw-12256.jpg
22,SUNTORY TOKUHO KURO OOLONG CHA 1050ML (1 Bottle) (Parallel Import) 4901777314641,HK$54.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4901777314641.jpg
23,(電子換領券) 健康工房 - 花旗參石斛麥冬茶 HW-12833,HK$32.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/h/w/hw-12833.jpg
24,JN BROWN RICE TEA- TB 200G (1PACK) (PARALLEL IMPORT) 4977578407820,HK$40.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4977578407820.jpg
25,ORONAMIN C DRINK 120ML X6Bottles (2Packs) (Parallel Import) 8871002029823,HK$99.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/8/8/8871002029823_1.jpg
26,雀巢咖啡 無咖啡因即溶咖啡 80克 (1件)(平行進口貨品),HK$100.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4902201412346.jpg
27,JONETSU KAKAKU - GREEN TEA 50 PCS 200G (Parallel Import) 4904016508108,HK$30.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4904016508108.jpg
28,可果美芒果混合汁 720毫升 (1支 / 3支 / 15支) (平行進口貨品) KAG_MAGMIXJUICE_ALL,HK$19.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4901306017098.jpg
29,JN CAFFEIN-FREE JP HERB TEA 256g (1Pack) (Parallel Import) 4528284011544,HK$34.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/5/4528284011544.jpg
30,JONETZ - BARLEY TEA BAG 416g (Parallel Import) 4977578410011,HK$25.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4977578410011.jpg
31,(電子換領券) 健康工房 - 野生黑枸杞桑椹汁 HW-13304,HK$32.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/h/w/hw-13304.jpg
32,EHIME-KEN ORANGE JUICE 1L (1BOTTLE / 3 BOTTLES / 6 BOTTLES) (PARALLEL IMPORT) EHI_ORANGE_ALL,HK$69.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/9/4908729107436.jpg
33,(電子換領券) 健康工房 - 蕎麥核桃露 HW-12885,HK$32.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/h/w/hw-12885.jpg
34,(電子換領券) 健康工房 - 金銀花杞子菊花茶 HW-12831,HK$28.0,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/h/w/hw-12831.jpg
35,富士山天然礦泉水 500毫升 (6支 / 24支) (平行進口貨品) NAUWATER_FUJI_ALL,HK$7.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/8/8/8871006721081.jpg
36,情熱價格 錫蘭茶 (平行進口貨品) 4549387584919,HK$34.9,https://shop.theclub.com.hk/media/catalog/product/cache/328772890ce7c3d4dd74ab840a380f82/4/5/4549387584919.jpg
